,NAME,IREL_url,latitude,longitude
273,Dakar-Thiès,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dakar-Thi%C3%A8sCercle%20%28S%C3%A9n%C3%A9gal%29,,
274,Abhe Bad ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abhe%20Bad%20%28Djibouti%29,11.5385,41.6665
275,Benelux,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=BeneluxR%C3%A9gion%20g%C3%A9ographique%20%28Europe%29,,
276,Abzac ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abzac%20%28Charente%20%3B%20France%29,46.1039,0.7050
277,Adoumas,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdoumasCirconscription%20%28Gabon%29,,
278,Athina ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Athina%20%28Gr%C3%A8ce%29,37.9833,23.7333
279,Anse-Bertrand ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Anse-Bertrand%20%28Guadeloupe%C3%8Ele%20de%20la%29,,
280,Annobon,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Annobon%C3%8Ele%20d%5C%20%28Guin%C3%A9e%20%C3%A9quatoriale%29,,
281,Acarouany ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acarouany%20%28Guyane%20fran%C3%A7aise%29,5.5922,-53.8123
282,Acarouany ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Acarouany%20%28Guyane%20fran%C3%A7aise%29,5.5922,-53.8123
283,Haiphong/Hanoi,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Haiphong/HanoiVoie%20ferr%C3%A9e%20%28Vietnam%29,,
284,Hué/Tourane,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Hu%C3%A9/TouraneVoie%20ferr%C3%A9e%20%28Vietnam%29,,
285,Allancoupom ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Allancoupom%20%28Inde%29,12.0213,79.7984
286,Japon',http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Japon,36.0570,138.0970
287,Kati ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Kati%20%28Mali%29,12.7430,-8.0737
288,Bafoulabé/Kayes,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bafoulab%C3%A9/KayesVoie%20ferr%C3%A9e%20%28Mali%29,,
289,Attopeu/Qui Nhon,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Attopeu/Qui%20NhonVoie%20ferr%C3%A9e%20%28Laos/Vietnam%29,,
290,Lac Tchad/Loango,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lac%20Tchad/LoangoVoie%20ferr%C3%A9e%20%28Tchad/R%C3%A9publique%20du%20Congo%29,,
291,Lorient ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Lorient%20%28Saint-Barth%C3%A9lemy%C3%8Ele%29,,
292,Agadir ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Agadir%20%28Maroc%29,30.4170,-9.6000
293,Anse-l\'Abîme ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Anse-l%5CAb%C3%AEme%20%28Le%20Pr%C3%AAcheur%20%3B%20Martinique%C3%8Ele%20de%20la%29,,
294,Adrar,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AdrarCercle%20%28Mauritanie%29,,
295,Cabo Catoche ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cabo%20Catoche%20%28Mexique%29,21.6047,-87.1032
296,Milano ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Milano%20%28Italie%29,45.4667,9.2000
297,Chiens,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Chiens%C3%8Ele%20aux%20%28Saint-Pierre-et-MiquelonArchipel%20de%29,,
298,Nice ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Nice%20%28Alpes-Maritimes%20%3B%20France%29,43.7016,7.2705
299,Abidjan/Niger,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Abidjan/NigerVoie%20ferr%C3%A9e%20%28C%C3%B4te%20d%5CIvoire/Burkina%20Faso%29,,
300,Nioro du Rip ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Nioro%20du%20Rip%20%28S%C3%A9n%C3%A9gal%29,13.7448,-15.7739
301,Brun,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Brun%C3%8Elot%20%28Noum%C3%A9a%20%3B%20Nouvelle-Cal%C3%A9donie%C3%8Ele%20de%20la%29,,
302,Bas Ogooué,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Bas%20Ogoou%C3%A9R%C3%A9gion%20g%C3%A9ographique%20%28Gabon%29,,
303,Haut Oubangui,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Haut%20OubanguiR%C3%A9gion%20g%C3%A9ographique%20%28R%C3%A9publique%20centrafricaine%29,,
304,Montmartre ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Montmartre%20%28Paris%20%3B%20France%29,48.8860,2.3430
305,Les Philippines',http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Les%20Philippines,13.0902,123.1567
306,Gondelour/Pondichéry,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Gondelour/Pondich%C3%A9ryVoie%20ferr%C3%A9e%20%28Inde%29,,
307,Philisbourg,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=PhilisbourgHabitation%20%28Port-Louis%20%3B%20Guadeloupe%C3%8Ele%20de%20la%29,,
308,Cotonou/Porto-Novo,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Cotonou/Porto-NovoRoute%20%28B%C3%A9nin%29,,
309,Portsmouth ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Portsmouth%20%28Royaume-Uni%29,50.8167,-1.1167
310,Champ-Borne ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Champ-Borne%20%28Saint-Andr%C3%A9%20%3B%20R%C3%A9union%C3%8Ele%20de%20la%29,,
311,Can Tho/Saigon,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Can%20Tho/SaigonVoie%20ferr%C3%A9e%20%28Vietnam%29,,
312,Saint-Brieuc-des-Iffs ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Saint-Brieuc-des-Iffs%20%28Ille-et-Vilaine%20%3B%20France%29,48.2919,-1.8500
313,Dakar/Saint-Louis,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dakar/Saint-LouisRoute%20%28S%C3%A9n%C3%A9gal%29,,
314,Az Zaghawah,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Az%20ZaghawahR%C3%A9gion%20g%C3%A9ographique%20%28Soudan%29,,
315,Achem ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Achem%20%28Sumatra%C3%8Ele%20de%29,,
316,Almadies,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=AlmadiesPointe%20des%20%28S%C3%A9n%C3%A9gal%29,,
317,Abéché ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Ab%C3%A9ch%C3%A9%20%28Tchad%29,13.8300,20.8305
318,Afanyan Bléta ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Afanyan%20Bl%C3%A9ta%20%28Togo%29,6.5000,1.6167
319,Toulon-sur-Allier ,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Toulon-sur-Allier%20%28Allier%20%3B%20France%29,46.5186,3.3600
320,Dong Ha/Vinh,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Dong%20Ha/VinhVoie%20ferr%C3%A9e%20%28Vietnam%29,,
321,Wallis-et-Futuna,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Wallis-et-Futuna%C3%8Eles,,
322,Haiphong/Yunnan Fou,http://anom.archivesnationales.culture.gouv.fr/geo.php?ir=&lieu=Haiphong/Yunnan%20FouVoie%20ferr%C3%A9e%20%28Vietnam/Chine%29,,
