,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign_GPH_code,SovereignGPH_code
93,565.0,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,Nauru,1885.0,1915.0,Colony of,255.0,
94,255.0,Germany,Europe,http://www.wikidata.org/entity/Q183,,,,,Germany,1871.0,1945.0,Sovereign,255.0,255.0
95,231.0,Gibraltar,Europe,http://www.wikidata.org/entity/Q1410,,,,,Gibraltar,1816.0,2020.0,Colony of,200.0,
96,5808.0,Glorioso I.,Africa,http://www.wikidata.org/entity/Q236601,,,,,Glorioso Islands,1892.0,2020.0,Possession of,220.0,
97,452.0,Ghana (Gold Coast),Africa,http://www.wikidata.org/entity/Q117,,,,,Gold Coast,1874.0,1957.0,Colony of,200.0,
98,350.0,Greece,Europe,http://www.wikidata.org/entity/Q41,,,,,Greece,1830.0,1941.0,Sovereign,350.0,350.0
99,10.0,Greenland,America,http://www.wikidata.org/entity/Q223,,,,,Greenland,1816.0,1953.0,Colony of,390.0,
100,55.0,Grenada,America,http://www.wikidata.org/entity/Q769,,,,,Grenada,1833.0,1958.0,Part of,1055.0,
101,65.0,Guadeloupe,America,http://www.wikidata.org/entity/Q17012,,,,,Guadeloupe,1816.0,1947.0,Colony of,220.0,
102,985.0,Guam,Oceania,http://www.wikidata.org/entity/Q16635,,,,,Guam,1898.0,1941.0,Colony of,2.0,
103,90.0,Guatemala,America,http://www.wikidata.org/entity/Q774,,,,,Guatemala,1839.0,2020.0,Sovereign,90.0,90.0
104,41.0,Haiti,America,http://www.wikidata.org/entity/Q790,,,,,Haiti,1859.0,1915.0,Sovereign,41.0,41.0
105,9005.0,Heard and McDonald Is.,Oceania,http://www.wikidata.org/entity/Q131198,,,,,Heard Island and McDonald Islands,1853.0,1947.0,Possession of,200.0,
106,91.0,Honduras,America,http://www.wikidata.org/entity/Q783,,,,,Honduras,1838.0,2020.0,Sovereign,91.0,91.0
107,720.0,Hong Kong,Asia,http://www.wikidata.org/entity/Q8646,,,,,Hong Kong,1841.0,1942.0,Colony of,200.0,
108,395.0,Iceland,Europe,http://www.wikidata.org/entity/Q189,,,,,Iceland,1816.0,1918.0,Colony of,390.0,
109,750.0,India,Asia,http://www.wikidata.org/entity/Q668,,,,,India,1816.0,1947.0,Colony of,200.0,
110,205.0,Ireland,Europe,http://www.wikidata.org/entity/Q27,,,,,Ireland,1816.0,1922.0,Part of,200.0,
111,5200.0,Italian Somaliland,Africa,http://www.wikidata.org/entity/Q319984,,,,,Italian Somaliland,1905.0,1936.0,Colony of,325.0,
112,325.0,Italy,Europe,http://www.wikidata.org/entity/Q38,,,,,Italy,1861.0,2020.0,Sovereign,325.0,325.0
113,51.0,Jamaica,America,http://www.wikidata.org/entity/Q766,,,,,Jamaica,1816.0,1958.0,Colony of,200.0,
114,3387.0,Jan Mayen Is.,Europe,http://www.wikidata.org/entity/Q14056,,,,,Jan Mayen,1816.0,1921.0,Discovered,3387.0,3387.0
115,740.0,Japan,Asia,http://www.wikidata.org/entity/Q17,,,,,Japan,1860.0,1945.0,Sovereign,740.0,740.0
116,9772.0,Jarvis I.,Oceania,http://www.wikidata.org/entity/Q62218,,,,,Jarvis Island,1889.0,1935.0,Claimed by,200.0,
117,5807.0,Juan de Nova I.,Africa,http://www.wikidata.org/entity/Q237034,,,,,Juan De Nova Island,1897.0,2020.0,Possession of,220.0,
118,450.0,Liberia,Africa,http://www.wikidata.org/entity/Q1014,,,,,Liberia,1847.0,1920.0,Sovereign (unrecognized),450.0,450.0
119,223.0,Liechtenstein,Europe,http://www.wikidata.org/entity/Q347,,,,,Liechtenstein,1867.0,1990.0,Sovereign (unrecognized),223.0,223.0
120,721.0,Macao,Asia,http://www.wikidata.org/entity/Q14773,,,,,Macao,1816.0,1999.0,Colony of,235.0,
121,580.0,Madagascar (Malagasy Republic),Africa,http://www.wikidata.org/entity/Q1019,,,,,Madagascar,1896.0,1960.0,Colony of,220.0,
122,401.0,Madeira Isles,Africa,http://www.wikidata.org/entity/Q26253,,,,,Madeira,1834.0,1976.0,Part of,235.0,
123,781.0,Maldive Islands,Asia,http://www.wikidata.org/entity/Q17044696,,,,,Maldives,1887.0,1965.0,Protectorate of,200.0,
124,338.0,Malta,Europe,http://www.wikidata.org/entity/Q233,,,,,Malta,1816.0,1964.0,Colony of,200.0,
125,66.0,Martinique,America,http://www.wikidata.org/entity/Q17054,,,,,Martinique,1816.0,1947.0,Colony of,220.0,
126,590.0,Mauritius,Africa,http://www.wikidata.org/entity/Q1027,,,,,Mauritius,1816.0,1968.0,Colony of,200.0,
127,5812.0,Mayotte,Africa,http://www.wikidata.org/entity/Q17063,,,,,Mayotte,1886.0,1975.0,Part of,581.0,
128,70.0,Mexico,America,http://www.wikidata.org/entity/Q96,,,,,Mexico,1821.0,2020.0,Sovereign,70.0,70.0
129,9730.0,Midway Is.,Oceania,http://www.wikidata.org/entity/Q47863,,,,,Midway Islands,1859.0,2020.0,Dependency of,2.0,
130,221.0,Monaco,Europe,http://www.wikidata.org/entity/Q235,,,,,Monaco,1861.0,1940.0,Sovereign (unrecognized),221.0,221.0
131,341.0,Montenegro,Europe,http://www.wikidata.org/entity/Q236,,,,,Montenegro,1878.0,1915.0,Sovereign (unrecognized),341.0,341.0
132,600.0,Morocco,Africa,http://www.wikidata.org/entity/Q1028,,,,,Morocco,1912.0,1956.0,Protectorate of,220.0,
133,790.0,Nepal,Asia,http://www.wikidata.org/entity/Q837,,,,,Nepal,1816.0,1923.0,Protectorate of,200.0,
134,210.0,Netherlands,Europe,http://www.wikidata.org/entity/Q55,,,,,Netherlands,1816.0,1940.0,Sovereign,210.0,210.0
135,930.0,New Caledonia and Dependencies,Oceania,http://www.wikidata.org/entity/Q33788,,,,,New Caledonia,1853.0,1946.0,Colony of,220.0,
136,935.0,Vanuatu (New Hebrides),Oceania,http://www.wikidata.org/entity/Q752431,,,,,New Hebrides Island,1906.0,1980.0,Colony of,200.0,
137,920.0,New Zealand,Oceania,http://www.wikidata.org/entity/Q664,,,,,New Zealand,1840.0,1920.0,Colony of,200.0,
138,93.0,Nicaragua,America,http://www.wikidata.org/entity/Q811,,,,,Nicaragua,1912.0,1925.0,Occupied by,2.0,
139,93.0,Nicaragua,America,http://www.wikidata.org/entity/Q811,,,,,Nicaragua,1838.0,2020.0,Sovereign,93.0,93.0
140,9253.0,Niue I.,Oceania,http://www.wikidata.org/entity/Q34020,,,,,Niue,1904.0,1974.0,Colony of,920.0,
141,9004.0,Norfolk I.,Oceania,http://www.wikidata.org/entity/Q31057,,,,,Norfolk Island,1816.0,1920.0,Colony of,200.0,
142,984.0,Northern Marianas Is.,Oceania,http://www.wikidata.org/entity/Q16644,,,,,Northern Mariana Islands,1898.0,1919.0,Part of,912.0,
143,385.0,Norway,Europe,http://www.wikidata.org/entity/Q20,,,,,Norway,1905.0,1940.0,Sovereign,385.0,385.0
144,553.0,Malawi (Nyasaland) (British Central Africa Protectorate),Africa,http://www.wikidata.org/entity/Q1020,,,,,Nyasaland,1891.0,1953.0,Protectorate of,200.0,
