,ensemble,latitude,longitude,AHMC,AMN
Tchen-Tou,1,30.6667,104.0667,1.0,
Tchentou,3,30.6667,104.0667,3.0,
Terre,7,,,,7.0
Thaï-Binh,1,14.116667000000001,109.1,1.0,
Tidjikdja,2,18.55644,-11.42715,2.0,
Timbo,1,10.6324,11.8296,1.0,
Togo,1,8.611,1.025,1.0,
Tokyo,1,35.685,139.7514,,1.0
Tombouctou,2,16.768,-3.0022,2.0,
Tonkin,27,21.0245,105.84117,23.0,4.0
Toulon,1,43.1177,5.9417,,1.0
Vinh,1,18.6785,105.6801,1.0,
Wallis,1,-14.6645,-177.9578,1.0,
Yang-Tsé,1,30.4984,114.266,1.0,
Yen-Thé,1,21.4834,106.121,,1.0
Yun-Nam,1,24.5,101.5,1.0,
Yun-Nan,1,24.5,101.5,1.0,
Yunnan,2,24.5,101.5,2.0,
Zanzibar,1,-6.1333333333333,39.316666666667,,1.0
Zinder,2,13.8,8.9833333333333,2.0,
casamance,1,12.5863,-16.6699,,1.0
cercle de Thiès,1,14.7665,-16.9511,,1.0
côte d'Ivoire,1,7.537,5.353,1.0,
delta Tonkinois,1,20.247632222222226,106.46858019444444,1.0,
golfe de Siam,2,14.71,-74.81,,2.0
lac Tchad.,1,13.098,14.412,1.0,
mer rouge,1,21.0,38.0,,1.0
océan Atlantique,1,10.0,-25.0,,1.0
océan indien,1,-10.0,70.0,,1.0
île,1,,,1.0,
île de Céram,1,-3.305,129.501,,1.0
île de Groix,3,47.633331,-3.4666699999999997,,3.0
île de Porquerolles,1,42.9967,6.212,,1.0
île de Saint-Barthélémy,1,17.9,-62.8333,1.0,
île de Saint-Martin,1,44.644,0.821,1.0,
île de la Réunion,1,-20.88231,55.4504,1.0,
îles Saint-Pierre,1,46.7737,-56.1958,1.0,
