,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
724,501,Kenya (British East Africa Protectorate),1895,1920,Protectorate of,200.0
728,510,Tanzania (Tanganyika) (German East Africa),1891,1916,Colony of,255.0
734,511,Zanzibar,1890,1963,Protectorate of,200.0
737,515,Ruanda-Urundi,1891,1922,Part of,510.0
742,516,Burundi,1891,1962,Part of,515.0
745,517,Rwanda,1891,1962,Part of,515.0
748,520,Somalia,1884,1960,Part of,521.0
749,520,Somalia,1889,1960,Part of,5200.0
753,521,Somaliland Republic (British Somaliland),1884,1940,Protectorate of,200.0
759,522,Djibouti (Afar and Issas) (French Somaliland),1884,1977,Colony of,220.0
762,530,Ethiopia (Abyssinia),1898,1936,Sovereign,
766,531,Eritrea,1882,1936,Colony of,325.0
772,540,Angola,1816,1975,Colony of,235.0
774,541,Mozambique,1816,1975,Colony of,235.0
779,551,Zambia (Northern Rhodesia),1911,1953,Colony of,200.0
782,552,Zimbabwe (Rhodesia) (Southern Rhodesia),1889,1953,Colony of,200.0
788,553,Malawi (Nyasaland) (British Central Africa Protectorate),1891,1953,Protectorate of,200.0
792,560,South Africa,1910,1920,Colony of,200.0
795,561,Cape Colony,1910,2020,Part of,560.0
801,562,Natal,1910,2020,Part of,560.0
808,563,Transvaal,1910,2020,Part of,560.0
813,564,Orange Free State (Orange River Colony),1910,2020,Part of,560.0
815,565,Namibia (South West Africa) (German West Africa),1885,1915,Colony of,255.0
826,569,Ciskei,1910,1981,Part of,561.0
832,570,Lesotho (Basutoland),1884,1966,Colony of,200.0
835,571,Botswana (Bechuanaland),1885,1966,Protectorate of,200.0
839,572,Eswatini (Swaziland),1902,1968,Colony of,200.0
843,580,Madagascar (Malagasy Republic),1896,1960,Colony of,220.0
847,581,Comoros,1912,1946,Part of,580.0
850,585,Reunion,1816,1947,Colony of,220.0
852,590,Mauritius,1816,1968,Colony of,200.0
855,591,Seychelles,1903,1976,Colony of,200.0
859,600,Morocco,1912,1956,Protectorate of,220.0
862,601,Tangier,1911,1923,Part of,602.0
867,602,Spanish Morocco,1912,1946,Protectorate of,230.0
870,605,Ifni,1816,1934,Part of,600.0
875,609,Sahrawi Arab Democratic Republic (Western Sahara) (Spanish Sahara),1884,1958,Protectorate of,230.0
884,615,Algeria,1831,1962,Colony of,220.0
887,616,Tunisia,1881,1956,Protectorate of,220.0
890,620,"Libya (Tripolitania, Cyrenaica, Fezzan)",1912,1919,Colony of,325.0
901,625,North Sudan (Sudan) (Anglo-Egyptian),1898,1956,Colony of,200.0
905,630,Iran (Persia),1855,2020,Sovereign,
906,630,Iran (Persia),1911,1919,Occupied by,200.0
907,630,Iran (Persia),1911,1917,Occupied by,365.0
909,640,Turkey (Ottoman Empire),1816,2020,Sovereign,
910,645,Iraq (Mesopotamia),1816,1917,Part of,640.0
921,652,Syria,1840,1918,Part of,640.0
928,660,Lebanon,1816,1918,Part of,640.0
933,663,Jordan (Transjordan),1816,1918,Part of,640.0
937,665,Palestine,1816,1918,Part of,640.0
953,670,Saudi Arabia (Emirate of Nejd),1902,1927,Sovereign (unrecognized),
957,671,Hejaz Sultanate,1841,1916,Part of,640.0
971,673,Al Hasa,1913,2020,Part of,670.0
972,674,Jabal Shammar,1836,1921,Sovereign (unrecognized),
975,678,Yemen Arab Republic (North Yemen) (Kingdom of Yemen),1871,1918,Part of,640.0
982,681,Aden,1838,1962,Colony of,200.0
986,682,Aden Protectorate,1872,1937,Protectorate of,200.0
990,690,Kuwait,1899,1961,Protectorate of,200.0
994,692,Bahrain,1820,1971,Protectorate of,200.0
997,694,Qatar,1871,1916,Part of,640.0
998,694,Qatar,1896,1971,Protectorate of,200.0
1001,696,United Arab Emirates (Trucial Oman),1892,1971,Protectorate of,200.0
1003,698,Oman (Sultanate of Muscat and Oman),1816,1971,Sovereign (unrecognized),
1007,700,Afghanistan,1879,1919,Protectorate of,200.0
1012,701,Turkmenistan,1881,1991,Part of,365.0
1016,702,Tajikistan,1868,1991,Part of,365.0
1019,703,Kyrgyzstan,1876,1991,Part of,365.0
1021,704,Uzbekistan,1816,1920,Part of,7010.0
1022,704,Uzbekistan,1816,1920,Part of,7020.0
1023,704,Uzbekistan,1816,1920,Part of,7030.0
1027,705,Kazakhstan,1848,1991,Part of,365.0
