,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
150,438.0,Guinea (French Guinea) (Rivieres du Sud),1895,1958.0,Part of,430.0
151,439.0,Burkina Faso (Upper Volta),1904,1932.0,Part of,432.0
152,450.0,Liberia,1847,1920.0,Sovereign (unrecognized),
153,451.0,Sierra Leone,1816,1961.0,Colony of,200.0
154,451.0,Sierra Leone,1896,1961.0,Protectorate of,200.0
155,452.0,Ghana (Gold Coast),1874,1957.0,Colony of,200.0
156,460.0,German Togoland,1884,1916.0,Colony of,255.0
157,470.0,Kamerun,1884,1916.0,Colony of,255.0
158,480.0,French Equatorial Africa,1910,1958.0,Colony of,220.0
159,481.0,Gabon,1910,1958.0,Part of,480.0
160,482.0,Central African Republic (Ubangi Shari),1910,1958.0,Part of,480.0
161,483.0,Chad,1910,1958.0,Part of,480.0
162,484.0,Congo (Brazzaville) (French Congo) (Middle Congo),1910,1958.0,Part of,480.0
163,490.0,Democratic Republic of the Congo (Zaire) (Kinshasa) (Belgian Congo) (Congo Free State),1908,1960.0,Colony of,211.0
164,500.0,Uganda,1894,1962.0,Protectorate of,200.0
165,501.0,Kenya (British East Africa Protectorate),1895,1920.0,Protectorate of,200.0
166,510.0,Tanzania (Tanganyika) (German East Africa),1891,1916.0,Colony of,255.0
167,511.0,Zanzibar,1890,1963.0,Protectorate of,200.0
168,515.0,Ruanda-Urundi,1891,1922.0,Part of,510.0
169,516.0,Burundi,1891,1962.0,Part of,515.0
170,517.0,Rwanda,1891,1962.0,Part of,515.0
171,520.0,Somalia,1884,1960.0,Part of,521.0
172,520.0,Somalia,1889,1960.0,Part of,5200.0
173,521.0,Somaliland Republic (British Somaliland),1884,1940.0,Protectorate of,200.0
174,522.0,Djibouti (Afar and Issas) (French Somaliland),1884,1977.0,Colony of,220.0
175,530.0,Ethiopia (Abyssinia),1898,1936.0,Sovereign,
176,531.0,Eritrea,1882,1936.0,Colony of,325.0
177,540.0,Angola,1816,1975.0,Colony of,235.0
178,541.0,Mozambique,1816,1975.0,Colony of,235.0
179,551.0,Zambia (Northern Rhodesia),1911,1953.0,Colony of,200.0
180,552.0,Zimbabwe (Rhodesia) (Southern Rhodesia),1889,1953.0,Colony of,200.0
181,553.0,Malawi (Nyasaland) (British Central Africa Protectorate),1891,1953.0,Protectorate of,200.0
182,560.0,South Africa,1910,1920.0,Colony of,200.0
183,561.0,Cape Colony,1910,2020.0,Part of,560.0
184,562.0,Natal,1910,2020.0,Part of,560.0
185,563.0,Transvaal,1910,2020.0,Part of,560.0
186,564.0,Orange Free State (Orange River Colony),1910,2020.0,Part of,560.0
187,565.0,Namibia (South West Africa) (German West Africa),1885,1915.0,Colony of,255.0
188,569.0,Ciskei,1910,1981.0,Part of,561.0
189,570.0,Lesotho (Basutoland),1884,1966.0,Colony of,200.0
190,571.0,Botswana (Bechuanaland),1885,1966.0,Protectorate of,200.0
191,572.0,Eswatini (Swaziland),1902,1968.0,Colony of,200.0
