,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign&dependency_GPH_code,Dependency_GPH_code
95,521,Somaliland Republic (British Somaliland),Africa,http://www.wikidata.org/entity/Q34754,,,,,British Somaliland,1884.0,1940.0,Protectorate of,200.0,
96,522,Djibouti (Afar and Issas) (French Somaliland),Africa,http://www.wikidata.org/entity/Q977,,,,,French Somaliland,1884.0,1977.0,Colony of,220.0,
97,530,Ethiopia (Abyssinia),Africa,http://www.wikidata.org/entity/Q115,,,,,Abyssinia,1898.0,1936.0,Sovereign,530.0,530.0
98,531,Eritrea,Africa,http://www.wikidata.org/entity/Q986,,,,,Eritrea,1882.0,1936.0,Colony of,325.0,
99,541,Mozambique,Africa,http://www.wikidata.org/entity/Q1029,,,,,Portuguese East Africa ,1816.0,1975.0,Colony of,235.0,
100,553,Malawi (Nyasaland) (British Central Africa Protectorate),Africa,http://www.wikidata.org/entity/Q1020,,,,,Nyasaland,1891.0,1953.0,Protectorate of,200.0,
101,560,South Africa,Africa,http://www.wikidata.org/entity/Q258,,,,,South Africa ,1910.0,1920.0,Colony of,200.0,
102,565,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,German Samoa Island ,1885.0,1915.0,Colony of,255.0,
103,565,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,German South west Africa,1885.0,1915.0,Colony of,255.0,
104,565,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,Marshall Islands,1885.0,1915.0,Colony of,255.0,
105,565,Namibia (South West Africa) (German West Africa),Africa,http://www.wikidata.org/entity/Q639691,http://www.wikidata.org/entity/Q953068,http://www.wikidata.org/entity/Q1030,,,Nauru,1885.0,1915.0,Colony of,255.0,
106,571,Botswana (Bechuanaland),Africa,http://www.wikidata.org/entity/Q963,,,,,Bechuanaland,1885.0,1966.0,Protectorate of,200.0,
107,580,Madagascar (Malagasy Republic),Africa,http://www.wikidata.org/entity/Q1019,,,,,Madagascar,1896.0,1960.0,Colony of,220.0,
108,581,Comoros,Africa,http://www.wikidata.org/entity/Q970,,,,,Comoros,1912.0,1946.0,Part of,580.0,
109,585,Reunion,Africa,http://www.wikidata.org/entity/Q17070,,,,,Réunion,1816.0,1947.0,Colony of,220.0,
110,590,Mauritius,Africa,http://www.wikidata.org/entity/Q1027,,,,,Mauritius,1816.0,1968.0,Colony of,200.0,
111,591,Seychelles,Africa,http://www.wikidata.org/entity/Q1042,,,,,Seychelles,1903.0,1976.0,Colony of,200.0,
112,600,Morocco,Africa,http://www.wikidata.org/entity/Q1028,,,,,Morocco,1912.0,1956.0,Protectorate of,220.0,
113,616,Tunisia,Africa,http://www.wikidata.org/entity/Q948,,,,,Tunis,1881.0,1956.0,Protectorate of,220.0,
114,625,North Sudan (Sudan) (Anglo-Egyptian),Africa,http://www.wikidata.org/entity/Q541455,http://www.wikidata.org/entity/Q1049,,,,Anglo-Egyptian Sudan,1898.0,1956.0,Colony of,200.0,
115,630,Iran (Persia),Asia,http://www.wikidata.org/entity/Q794,,,,,Persia,1855.0,2020.0,Sovereign,630.0,630.0
116,640,Turkey (Ottoman Empire),Asia,http://www.wikidata.org/entity/Q43,,,,,Turkey,1816.0,2020.0,Sovereign,640.0,640.0
117,670,Saudi Arabia (Emirate of Nejd),Asia,http://www.wikidata.org/entity/Q851,,,,,Arabia,1902.0,1927.0,Sovereign (unrecognized),670.0,670.0
118,681,Aden,Asia,http://www.wikidata.org/entity/Q131694,,,,,Aden,1838.0,1962.0,Colony of,200.0,
119,698,Oman (Sultanate of Muscat and Oman),Asia,http://www.wikidata.org/entity/Q842,,,,,Oman,1816.0,1971.0,Sovereign (unrecognized),698.0,698.0
120,700,Afghanistan,Asia,http://www.wikidata.org/entity/Q889,,,,,Afghanistan,1879.0,1919.0,Protectorate of,200.0,
121,710,People's Republic of China (China),Asia,http://www.wikidata.org/entity/Q148,,,,,China,1860.0,2020.0,Sovereign,710.0,710.0
122,713,Republic of China (Taiwan) (Formosa),Asia,http://www.wikidata.org/entity/Q865,,,,,Formosa (Japan),1895.0,1945.0,Colony of,740.0,
